Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Points,MU_goals
20-21,10/24/2020,Man United,Chelsea,0,0,D,0,0,14,6,4,1,8,6,9,6,3,1,0,0,1,0
20-21,11/1/2020,Man United,Arsenal,0,1,A,0,0,8,7,2,2,12,12,6,3,3,3,0,0,0,0
20-21,11/7/2020,Everton,Man United,1,3,A,1,2,7,13,1,5,12,19,5,2,4,2,0,0,3,3
20-21,11/21/2020,Man United,West Brom,1,0,H,0,0,17,7,7,2,12,17,8,2,1,1,0,0,3,1
20-21,11/29/2020,Southampton,Man United,2,3,A,2,0,10,15,5,6,12,12,5,9,1,0,0,0,3,3
20-21,12/5/2020,West Ham,Man United,1,3,A,1,0,19,15,6,6,9,10,5,4,0,0,0,0,3,3
20-21,12/12/2020,Man United,Man City,0,0,D,0,0,11,9,2,2,13,6,4,3,1,1,0,0,1,0
20-21,12/17/2020,Sheffield United,Man United,2,3,A,1,2,12,14,6,8,17,8,6,3,3,2,0,0,3,3
20-21,12/20/2020,Man United,Leeds,6,2,H,4,1,26,17,14,3,6,6,11,13,1,0,0,0,3,6
20-21,12/26/2020,Leicester,Man United,2,2,D,1,1,10,9,2,4,10,17,5,0,2,1,0,0,1,2
20-21,12/29/2020,Man United,Wolves,1,0,H,0,0,11,9,3,5,11,7,2,2,1,1,0,0,3,1
20-21,1/1/2021,Man United,Aston Villa,2,1,H,1,0,19,5,9,5,22,10,5,10,4,0,0,0,3,2
20-21,1/12/2021,Burnley,Man United,0,1,A,0,0,11,13,0,7,15,13,3,4,1,2,0,0,3,1
20-21,1/17/2021,Liverpool,Man United,0,0,D,0,0,17,8,3,4,15,6,7,3,2,1,0,0,1,0
20-21,1/20/2021,Fulham,Man United,1,2,A,1,1,12,15,5,5,6,10,2,8,3,1,0,0,3,2
20-21,1/27/2021,Man United,Sheffield United,1,2,A,0,1,16,5,4,3,10,12,7,2,1,1,0,0,0,1
20-21,1/30/2021,Arsenal,Man United,0,0,D,0,0,17,14,3,3,9,16,4,7,1,3,0,0,1,0
20-21,2/2/2021,Man United,Southampton,9,0,H,4,0,24,3,14,1,11,6,5,3,2,3,0,2,3,9
20-21,2/6/2021,Man United,Everton,3,3,D,2,0,14,6,5,3,14,10,5,1,2,1,0,0,1,3
20-21,2/14/2021,West Brom,Man United,1,1,D,1,1,7,10,3,7,13,10,4,5,5,0,0,0,1,1
20-21,2/21/2021,Man United,Newcastle,3,1,H,1,1,15,10,7,6,9,11,6,4,1,2,0,0,3,3
20-21,2/28/2021,Chelsea,Man United,0,0,D,0,0,18,11,6,4,11,12,3,4,1,2,0,0,1,0
20-21,3/3/2021,Crystal Palace,Man United,0,0,D,0,0,8,11,2,1,4,13,4,6,1,0,0,0,1,0
20-21,3/7/2021,Man City,Man United,0,2,A,0,1,23,8,6,6,9,12,6,2,0,3,0,0,3,2
20-21,3/14/2021,Man United,West Ham,1,0,H,0,0,15,7,4,0,12,2,6,3,4,0,0,0,3,1
20-21,4/4/2021,Man United,Brighton,2,1,H,0,1,15,5,7,3,14,7,5,6,2,2,0,0,3,2
20-21,4/11/2021,Tottenham,Man United,1,3,A,1,0,12,12,3,7,11,15,7,5,1,5,0,0,3,3
20-21,4/18/2021,Man United,Burnley,3,1,H,0,0,17,10,9,3,9,12,8,3,1,2,0,0,3,3
20-21,4/25/2021,Leeds,Man United,0,0,D,0,0,6,16,3,4,21,11,2,6,4,1,0,0,1,0
20-21,5/9/2021,Aston Villa,Man United,1,3,A,1,0,11,18,5,7,13,18,5,6,1,1,1,0,3,3
20-21,5/11/2021,Man United,Leicester,1,2,A,1,1,4,12,1,3,9,12,3,4,0,0,0,0,0,1
20-21,5/13/2021,Man United,Liverpool,2,4,A,1,2,18,17,3,8,10,12,6,4,3,0,0,0,0,2
